YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2022,12,6,4.49,4.74,0.75,240.94,77.21,81.91,1.18,0.23,10.18
2022,12,7,4.17,4.66,0.7,247.26,71.73,80.44,1.09,0.22,9.48
2022,12,8,4.42,4.68,0.74,244.28,75.41,80.09,1.18,0.23,9.95
2022,12,9,4.11,4.59,0.69,246.98,71.16,79.76,1.07,0.21,9.39
2022,12,10,4.29,4.66,0.72,243.85,73.8,80.52,1.14,0.23,9.76
2022,12,11,3.97,4.54,0.67,254.98,68.07,78.05,1.03,0.2,8.92
2022,12,12,3.89,4.2,0.66,258.12,65.89,71.61,0.99,0.2,8.42
2022,12,13,3.91,4.35,0.66,249.98,66.66,74.63,1.05,0.2,8.66
2022,12,14,3.42,4.21,0.58,253.83,57.33,70.85,0.95,0.18,7.45
2022,12,15,3.59,4.03,0.61,252.57,59.59,67.39,0.86,0.17,7.57
2022,12,16,2.88,3.71,0.49,258.89,46.94,60.3,0.6,0.12,5.88
2022,12,17,3.17,3.93,0.54,259.11,52.59,65.24,0.64,0.12,6.75
2022,12,18,3.52,4.24,0.6,259.66,61.01,73.78,0.77,0.16,8.01
2022,12,19,2.83,4.3,0.48,268.98,49.82,74.84,0.66,0.13,6.74
2022,12,20,2.96,4.24,0.51,259.09,51.19,73.02,0.65,0.13,6.81
2022,12,21,3.21,4.14,0.55,258.29,55.36,71.49,0.66,0.13,7.19
2022,12,22,3.5,4.26,0.59,247.43,59.26,72.32,0.73,0.15,7.72
2022,12,23,4.15,4.56,0.7,238.14,70.15,77.56,0.86,0.17,9.17
2022,12,24,2.91,4.4,0.49,258.27,50.36,76.26,0.66,0.13,6.8
2022,12,25,3.74,4.15,0.63,235.22,63.19,70.38,0.7,0.14,8
2022,12,26,3.13,3.8,0.53,236.93,51.41,62.23,0.59,0.12,6.5
2022,12,27,3.45,3.99,0.59,243.53,56.97,65.74,0.59,0.12,7.23
2022,12,28,2.1,3.53,0.36,261.96,33.98,56.73,0.38,0.08,4.27
2022,12,29,2.37,3.5,0.4,258.2,39.52,57.18,0.44,0.09,4.95
2022,12,30,2.37,3.56,0.4,267.55,39.27,57.92,0.44,0.09,4.93
2022,12,31,2.17,3.42,0.37,266.48,35.35,54.78,0.39,0.08,4.45
2023,1,1,2.63,3.59,0.45,252.02,43.21,58.47,0.54,0.11,5.41
2023,1,2,2.95,4.03,0.49,251.89,49.83,67.08,0.7,0.14,6.55
2023,1,3,3.44,4.35,0.58,235.95,57.89,73.23,0.81,0.16,7.66
2023,1,4,3.42,4.44,0.57,229.84,57.83,75.1,0.76,0.15,7.7
2023,1,5,4.39,4.76,0.73,208.47,74.16,80.61,0.89,0.18,9.73
2023,1,6,4.63,4.84,0.77,212.79,79.72,83.58,1.03,0.2,10.46
2023,1,7,4.57,4.79,0.76,220.11,78.4,82.47,1.01,0.2,10.29
2023,1,8,4.66,4.74,0.77,221.34,80.66,82.45,1.12,0.23,10.66
2023,1,9,4.51,4.73,0.74,225.16,78,82.16,1.11,0.22,10.25
2023,1,10,4.21,4.65,0.69,231.7,72.82,80.62,1.09,0.22,9.61
2023,1,11,4.53,4.81,0.73,222.65,77.61,82.67,1.17,0.23,10.2
2023,1,12,3.4,4.71,0.55,248.61,59.27,81.91,1.05,0.2,8.08
2023,1,13,3.9,4.57,0.63,239.59,65.97,77.19,1.11,0.21,8.67
2023,1,14,3.54,4.69,0.57,238.34,59.55,78.9,0.88,0.17,7.91
2023,1,15,3.36,4.75,0.54,244.91,57.3,81.17,0.95,0.19,7.7
2023,1,16,3.6,4.68,0.57,242.63,61.3,79.44,0.95,0.19,8.12
2023,1,17,3.6,4.64,0.57,240.22,60.23,77.55,0.88,0.17,7.98
2023,1,18,3.88,4.39,0.61,230.87,63.82,72.57,0.87,0.17,8.18
2023,1,19,3.45,4.26,0.54,241.88,57.29,70.73,0.76,0.15,7.32
2023,1,20,3.93,4.53,0.61,233.92,67.02,77.35,0.85,0.17,8.72
2023,1,21,4.4,4.79,0.68,217.96,73.92,80.64,0.86,0.17,9.6
2023,1,22,3.9,4.73,0.6,233.06,65.44,79.08,0.86,0.17,8.62
2023,1,23,4.21,4.71,0.64,229.29,70.3,78.69,0.89,0.18,9.11
2023,1,24,4.48,4.77,0.68,241.15,76.28,81.59,1.09,0.22,9.91
2023,1,25,4.75,5,0.72,239.77,82.51,87.16,1.21,0.24,10.86
2023,1,26,4.15,4.82,0.62,249.75,71.84,83.33,1.11,0.22,9.52
2023,1,27,4.78,5.21,0.71,235.65,81.48,89.08,1.27,0.25,10.83
2023,1,28,4.43,5.2,0.66,242.41,75.43,88.3,1.2,0.23,10.05
2023,1,29,4.59,4.73,0.68,237.12,77,79.86,1.12,0.23,9.85
2023,1,30,4.57,5.13,0.67,250.53,80.55,90.43,1.3,0.26,10.77
2023,1,31,4.36,5.1,0.63,248.09,75.91,88.57,1.27,0.25,10.14
2023,2,1,4.95,5.39,0.72,229.56,84.45,92.09,1.37,0.27,11.27
2023,2,2,5.17,5.61,0.74,226.82,88.98,96.52,1.45,0.28,11.96
2023,2,3,4.61,4.84,0.66,236.93,76.95,80.93,1.03,0.2,9.86
2023,2,4,3.23,4.38,0.46,258.49,53.15,71.38,0.71,0.14,6.8
2023,2,5,3.1,4.18,0.44,267.2,50.84,67.37,0.67,0.13,6.33
2023,2,6,2.94,4.73,0.41,272.85,50.5,79.08,0.77,0.15,6.75
2023,2,7,2.99,4.77,0.41,274.54,51.28,79.48,0.84,0.16,6.9
2023,2,8,2.88,4.45,0.4,269.32,48.77,73.18,0.9,0.16,6.38
2023,2,9,2.1,4.68,0.29,274.19,36.8,78.75,0.73,0.14,5.01
2023,2,10,3.04,5.48,0.41,263.09,53.66,95.28,1.06,0.2,7.48
2023,2,11,4.03,5.87,0.55,254.2,71.02,102.47,1.27,0.25,9.84
2023,2,12,4.28,6.08,0.58,261.45,74.51,104.71,1.46,0.28,10.49
2023,2,13,5.27,6.05,0.7,235.53,90.09,102.8,1.61,0.31,12.26
2023,2,14,4.6,5.39,0.61,248.65,78.59,91.87,1.47,0.28,10.41
2023,2,15,3.6,4.89,0.48,266.34,60.26,79.49,1.04,0.2,7.83
2023,2,16,4.29,5.42,0.56,243.28,73.15,91.17,1.19,0.23,9.78
2023,2,17,4.74,5.45,0.62,244.82,81.93,93.88,1.24,0.24,10.75
2023,2,18,4.79,5.44,0.62,249.38,82.28,92.92,1.4,0.27,10.86
2023,2,19,3.41,4.69,0.44,281.48,56.42,76.31,0.94,0.18,7.05
2023,2,20,2.74,4.92,0.35,291.98,47.8,82.4,0.94,0.18,6.42
2023,2,21,2.64,4.78,0.34,291.48,45.34,79.07,0.81,0.16,5.88
2023,2,22,3.29,5.09,0.41,282.3,56.99,84.98,1.02,0.2,7.52
2023,2,23,3.8,5.72,0.48,265.55,66.58,97.64,1.25,0.24,9.05
2023,2,24,4.58,5.73,0.57,255.07,79.19,97.73,1.45,0.28,10.61
2023,2,25,3.06,5.8,0.38,287.98,54.62,99.59,1.13,0.21,7.54
2023,2,26,2.84,5.71,0.35,281.33,50.78,97.12,0.98,0.19,6.98
2023,2,27,3.04,5.44,0.37,272.02,53.34,91.43,0.9,0.18,7.21
2023,2,28,3.36,5.48,0.41,270.06,57.73,91.45,0.93,0.18,7.64
2023,3,1,3.76,5.35,0.45,273.85,64.21,89.7,1.02,0.2,8.34
2023,3,2,3.66,5.48,0.44,279.4,64.23,92.23,1.18,0.23,8.48
2023,3,3,3.77,5.48,0.45,269.95,65.28,93.13,1.19,0.23,8.62
2023,3,4,3.5,5.85,0.41,288.79,62.45,100.85,1.23,0.23,8.58
2023,3,5,3.89,5.72,0.45,285.42,67.58,96.33,1.27,0.24,9.03
2023,3,6,4.01,6.32,0.47,277.71,71.73,109.36,1.5,0.29,10.01
2023,3,7,5.07,6.74,0.59,265.38,89.48,116.27,1.89,0.36,12.45
2023,3,8,3.71,5.79,0.43,271.55,65.43,97.25,1.34,0.26,8.73
2023,3,9,4.08,5.7,0.47,265.46,69.05,93.5,1.27,0.24,8.95
2023,3,10,4.89,6.09,0.55,249.86,82.34,101.21,1.49,0.29,10.85
2023,3,11,4.89,6.11,0.55,255.54,83.34,101.45,1.62,0.31,11.05
2023,3,12,5.2,6.28,0.59,248.52,90.45,107.54,1.7,0.33,12.08
2023,3,13,4.34,5.92,0.48,265.42,76,100.01,1.38,0.27,10.05
2023,3,14,3.25,5.39,0.36,283.49,57.09,89.73,1.01,0.2,7.37
2023,3,15,2.81,5.36,0.31,276.27,48.75,86.84,0.74,0.15,6.16
2023,3,16,4.24,6.04,0.47,270.3,74.62,102.16,1.33,0.26,9.92
2023,3,17,2.87,5.25,0.31,284.55,49.64,84.66,0.79,0.16,6.25
2023,3,18,3.66,5.32,0.4,282.49,61.88,86.21,0.92,0.19,7.82
2023,3,19,1.61,4.42,0.17,279.92,28.92,67.57,0.36,0.07,3.38
2023,3,20,2.71,5.78,0.29,273.09,49.49,96.98,0.82,0.16,6.74
2023,3,21,2.37,6.39,0.26,283.7,44.15,109.66,0.8,0.16,6.34
2023,3,22,2.88,5.83,0.3,279.16,51.04,95.84,0.88,0.17,6.87
2023,3,23,4.45,6.85,0.48,270.69,78.25,116.67,1.48,0.3,10.95
2023,3,24,3.04,6.78,0.32,293.19,55.91,117.86,1.15,0.23,7.88
2023,3,25,3.77,6.69,0.4,296.33,67.76,114.86,1.28,0.26,9.38
2023,3,26,4.08,6.61,0.43,279.66,71.69,112.51,1.32,0.26,9.56
2023,3,27,4.48,7.32,0.47,274.59,80.89,126.46,1.52,0.3,11.34
2023,3,28,4.73,6.92,0.49,271.8,83.05,116.67,1.38,0.27,11.3
2023,3,29,4.53,7.25,0.47,278.66,80.7,124.64,1.53,0.3,11.35
2023,3,30,3.78,6.51,0.39,284.09,66.52,109.89,1.21,0.24,8.97
2023,3,31,2.87,6.24,0.3,288.46,51.72,104.44,0.94,0.19,6.79
2023,4,1,2.59,7.02,0.27,287.91,48.79,121.15,1,0.2,6.98
2023,4,2,4.12,7.42,0.41,279.9,74.86,129.92,1.48,0.29,10.82
2023,4,3,4.93,7.06,0.5,272.38,86.85,121.7,1.59,0.31,12
2023,4,4,3.21,7.07,0.32,299.46,59.42,123.32,1.24,0.24,8.48
2023,4,5,5.34,7.8,0.53,275.16,95.45,136.12,1.98,0.39,13.62
2023,4,6,4.74,7.76,0.48,282.59,85.48,135.1,1.83,0.36,12.11
2023,4,7,5.52,7.79,0.55,277.52,99.05,135.49,2.03,0.4,13.91
2023,4,8,5.27,7.53,0.52,283.86,94.2,129.8,1.9,0.38,13.05
2023,4,9,5.38,7.45,0.53,273.3,96.2,128.73,1.92,0.38,13.22
2023,4,10,5.57,7.73,0.55,270.29,99.77,133.74,1.88,0.38,13.86
2023,4,11,6.26,7.87,0.62,275.73,113.7,139.09,2.31,0.45,15.92
2023,4,12,6,7.55,0.59,275.17,106.29,130.95,2.07,0.41,14.53
2023,4,13,6.14,7.16,0.6,273.8,106.52,121.88,1.97,0.38,14.02
2023,4,14,5.7,7.1,0.55,282.41,100.73,122.49,1.78,0.35,13.3
2023,4,15,5.4,7.1,0.52,283.15,95.53,122.34,1.59,0.32,12.51
2023,4,16,5.03,7.39,0.48,287.9,90.59,128.55,1.87,0.37,12.27
2023,4,17,6.47,7.5,0.62,274.77,114.38,130.27,2.26,0.44,15.39
2023,4,18,6.55,7.49,0.62,280.41,116.51,130.87,2.33,0.45,15.7
2023,4,19,5.62,7.09,0.54,287.82,98.94,121.62,1.86,0.36,13.02
2023,4,20,4.91,7.62,0.47,287.62,89.36,133.52,1.81,0.36,12.28
2023,4,21,4.91,7.77,0.47,285.02,89.65,135.6,1.87,0.37,12.43
2023,4,22,4.21,8.04,0.4,289.34,78.22,141.52,1.71,0.34,11.2
2023,4,23,5.37,7.83,0.51,269.95,95.75,133.73,1.88,0.37,13.09
2023,4,24,4.81,7.71,0.45,284.2,89.48,134.91,1.78,0.35,12.38
2023,4,25,4.4,7.9,0.41,288.49,82.2,138.51,1.66,0.33,11.62
2023,4,26,5.56,7.85,0.52,286.85,100.29,136.76,2.09,0.41,14.02
2023,4,27,4.12,7.12,0.38,289.03,73.17,118.76,1.37,0.27,9.59
2023,4,28,4.89,7.04,0.45,288.45,84.12,117.63,1.42,0.28,10.7
2023,4,29,3.84,7.34,0.36,296.58,69.92,125.82,1.27,0.25,9.23
2023,4,30,3.07,6.48,0.29,295.05,55.72,108.05,0.93,0.19,7.06
2023,5,1,3.34,7.64,0.31,295.67,65.01,135.45,1.38,0.27,9.29
2023,5,2,2.82,7.5,0.26,290.85,55.47,130.85,1.14,0.23,7.95
2023,5,3,4.54,7.52,0.42,295.57,83.84,130.97,1.8,0.35,11.68
2023,5,4,2.42,7.27,0.23,313.14,47.27,126.34,1.11,0.22,6.86
2023,5,5,6.12,7.9,0.56,283.98,108.28,136.21,2.44,0.46,14.9
2023,5,6,5.02,8.19,0.46,305.15,93.2,145.99,2.27,0.43,13.26
2023,5,7,3.76,8.13,0.34,311.95,70.96,143.44,1.77,0.34,10.09
2023,5,8,4.97,8.49,0.45,301.59,92.23,150.15,2.19,0.42,13.24
2023,5,9,5.08,8.72,0.46,294.46,93.47,153.38,2.18,0.42,13.45
2023,5,10,6.52,8.82,0.59,279.59,118.45,155.16,2.73,0.52,16.91
2023,5,11,7.2,8.62,0.66,259.3,127.52,149.38,2.81,0.54,17.82
2023,5,12,5.16,7.95,0.47,273.82,93.09,138.64,1.95,0.38,12.8
2023,5,13,7.39,8.36,0.67,267.75,134.13,148.7,2.88,0.55,18.68
2023,5,14,6.64,8.23,0.6,282.78,122.28,148.05,2.73,0.52,17.2
2023,5,15,2.92,7.45,0.27,313.81,55.24,129.45,1.2,0.23,7.65
2023,5,16,3.07,7.41,0.28,314.83,58.35,128.07,1.24,0.24,7.98
2023,5,17,3.69,7.85,0.34,318.3,70.04,138.15,1.55,0.3,9.71
2023,5,18,3.93,7.7,0.35,318.31,74.41,136.75,1.62,0.31,10.24
2023,5,19,3.64,7.55,0.33,321.87,68.46,131.92,1.55,0.3,9.43
2023,5,20,4.24,7.75,0.38,308.23,79.21,135.38,1.77,0.34,10.88
2023,5,21,3.85,7.21,0.34,305.84,70.98,124.42,1.48,0.29,9.42
2023,5,22,5.45,7.71,0.49,293.66,98.56,135.16,2.12,0.4,13.19
2023,5,23,3.76,7.72,0.34,296.52,70.36,136.01,1.45,0.28,9.35
2023,5,24,5.8,7.99,0.52,296.91,107.61,143.1,2.46,0.47,14.87
2023,5,25,3.88,8.13,0.34,311.77,74.48,145.44,1.83,0.35,10.73
2023,5,26,4.9,7.97,0.44,304.55,91.24,141.3,2.22,0.42,12.91
2023,5,27,2.64,8.15,0.23,319.37,52.76,145.41,1.34,0.26,7.78
2023,5,28,4.5,8.34,0.4,317.15,85.98,149.01,2.19,0.41,12.47
2023,5,29,6.45,8.79,0.58,307.99,121.98,160.88,3.16,0.59,17.59
2023,5,30,7.17,8.9,0.64,300.85,132.74,160.51,3.34,0.62,18.96
2023,5,31,6.64,8.64,0.59,304.02,122.16,154.74,3.21,0.59,17.34
2023,6,1,6.17,8.78,0.55,312,113.8,157.34,2.91,0.55,16.23
2023,6,2,6.43,8.84,0.57,300.29,118.12,157.52,2.83,0.54,16.88
2023,6,3,6.11,8.87,0.54,297.98,113.26,158.34,2.68,0.51,16.19
2023,6,4,6.4,8.62,0.57,300.73,118.33,154.31,2.9,0.55,16.66
2023,6,5,6.89,8.27,0.61,295.99,126.21,147.75,3.09,0.57,17.45
2023,6,6,6.23,8.03,0.55,288.59,113.48,142.12,2.56,0.49,15.64
2023,6,7,6.78,7.98,0.6,283.48,121.87,140.16,2.8,0.52,16.59
2023,6,8,6.03,7.88,0.53,304.63,110.3,139.71,2.6,0.48,15
2023,6,9,6.13,8.18,0.54,302.79,115.48,148.98,2.81,0.53,16.26
2023,6,10,4.76,8.03,0.42,326.49,88.72,145.13,2.1,0.41,12.55
2023,6,11,5.94,8.29,0.52,321.48,111.57,151.2,2.65,0.51,15.81
2023,6,12,4.08,7.69,0.36,323.52,80.01,140.72,1.93,0.38,11.49
2023,6,13,3.17,6.65,0.28,332.55,58.37,113.52,1.22,0.23,7.59
2023,6,14,3.31,7.61,0.29,328.09,63.59,136.68,1.45,0.28,8.83
2023,6,15,2.7,7.55,0.24,335.71,53.09,135.69,1.18,0.23,7.42
2023,6,16,3.15,8.03,0.28,333.87,61.47,145.89,1.44,0.28,8.88
2023,6,17,3.97,7.59,0.35,336.92,74.37,135.76,1.71,0.33,10.48
2023,6,18,3.5,7.76,0.31,330.69,69.11,139.45,1.75,0.34,9.91
2023,6,19,3.5,7.75,0.31,335.01,69.58,141.02,1.75,0.34,10.02
2023,6,20,3.13,7.6,0.27,345.02,62.75,138.48,1.53,0.29,8.94
2023,6,21,3.79,7.64,0.34,344.08,72.41,138.51,1.66,0.32,10.16
2023,6,22,4.97,8.24,0.44,338.83,94.87,152.11,2.36,0.45,13.57
2023,6,23,5.26,8.48,0.47,341.71,101.18,157.89,2.7,0.51,14.73
2023,6,24,4.81,8.48,0.42,336.62,92.77,157.73,2.34,0.45,13.45
2023,6,25,4.99,8.62,0.44,326.77,96.09,160.48,2.52,0.48,14
2023,6,26,4.8,8.63,0.42,320.68,92.77,159.78,2.39,0.45,13.56
2023,6,27,4.23,8.66,0.38,335.81,83.36,162.02,2.25,0.43,12.43
2023,6,28,4.23,8.67,0.38,333.78,84.48,163.7,2.41,0.45,12.7
2023,6,29,3.68,8.67,0.33,334.72,75.28,164.23,2.19,0.41,11.43
2023,6,30,3.82,8.69,0.34,334.07,76.69,162.89,2.21,0.41,11.64
2023,7,1,4.18,8.56,0.37,335.95,84.29,160.62,2.39,0.45,12.67
2023,7,2,4.38,8.53,0.39,340.24,87.01,160.31,2.39,0.45,12.91
2023,7,3,3.6,8.4,0.32,335.79,71.88,157.95,2.04,0.38,10.8
2023,7,4,3.48,8.03,0.31,339.8,69.39,148.81,1.87,0.35,10.15
2023,7,5,3.24,7.82,0.29,330.62,63.41,142.69,1.6,0.3,9.06
2023,7,6,4.92,8.3,0.44,329.93,94.91,154.6,2.6,0.48,13.8
2023,7,7,4.39,8.43,0.39,331.48,87.38,159.05,2.48,0.47,12.98
2023,7,8,4.97,8.57,0.45,332.21,97.03,161.09,2.63,0.49,14.33
2023,7,9,4.55,8.31,0.41,334.59,89.85,157.22,2.4,0.45,13.15
2023,7,10,3.51,8.37,0.31,319.48,71.23,157.89,1.98,0.38,10.74
2023,7,11,4.27,8.2,0.38,320.05,83.27,152.38,2.22,0.42,12.13
2023,7,12,2.68,8.22,0.24,336.59,55.3,154.15,1.59,0.3,8.45
2023,7,13,3.02,8.39,0.27,333.64,61.84,158.16,1.83,0.34,9.43
2023,7,14,3.29,8.31,0.3,334.66,66.13,156.87,1.84,0.34,9.91
2023,7,15,5.39,8.29,0.48,319.48,104.1,155.16,2.8,0.52,14.95
2023,7,16,3.64,8.47,0.33,323.17,72.77,160,2.07,0.38,10.91
2023,7,17,3.9,8.51,0.35,330.53,77.49,160.91,2.19,0.41,11.64
2023,7,18,3.36,8.34,0.3,322.72,67.55,156.13,2.03,0.38,10.16
2023,7,19,4.97,8.44,0.45,328.9,96.78,158.44,2.8,0.52,14.28
2023,7,20,5,8.48,0.45,329.9,96.66,159.04,2.66,0.5,14.17
2023,7,21,3.96,8.38,0.36,336.73,78.21,157.43,2.2,0.41,11.7
2023,7,22,4.9,8.37,0.45,332.22,95.94,157.02,2.8,0.52,14.08
2023,7,23,4.39,8.38,0.4,327.51,85.56,156.55,2.54,0.47,12.72
2023,7,24,3.68,8.38,0.34,321.66,73.48,156.88,2.23,0.41,11.18
2023,7,25,3.93,8.36,0.36,326.08,77.53,157.08,2.38,0.44,11.73
2023,7,26,3.38,8.11,0.3,327.8,67.24,151.05,1.98,0.37,10.09
2023,7,27,4.11,8,0.38,322.95,80.04,148.75,2.25,0.42,11.77
2023,7,28,3.71,8.19,0.34,329.13,73.7,154.16,2.12,0.4,11.05
2023,7,29,4.15,8.15,0.38,329.81,81.95,152.6,2.33,0.43,12.09
2023,7,30,4.34,8.14,0.4,328.6,85.38,151.8,2.55,0.48,12.66
2023,7,31,4.82,8.21,0.44,325.05,93.87,153.76,2.6,0.48,13.7
2023,8,1,5.01,8.19,0.46,328.19,97.34,154.03,2.68,0.5,14.21
2023,8,2,3.67,8.07,0.34,329.8,73.19,151.78,2.1,0.4,10.98
2023,8,3,4.28,8.04,0.39,324.05,84.16,150.77,2.49,0.46,12.41
2023,8,4,3.59,7.87,0.33,329.05,71.59,147.16,2.03,0.38,10.65
2023,8,5,2.69,7.97,0.25,336.08,54.96,149.86,1.66,0.3,8.37
2023,8,6,3.13,7.97,0.29,330.73,62.45,150.41,1.81,0.34,9.34
2023,8,7,3.83,8,0.35,331.12,75.66,151.3,2.21,0.41,11.27
2023,8,8,3.45,8.03,0.32,330.38,69.34,151.59,2.1,0.39,10.5
2023,8,9,2.98,8.1,0.28,335.52,60.26,152.96,1.79,0.34,9.2
2023,8,10,4.33,7.65,0.41,335.34,84.03,141.97,2.41,0.45,12.23
2023,8,11,3.69,7.8,0.34,329.28,73.04,146.34,2.22,0.41,10.93
2023,8,12,3.36,7.73,0.31,334.34,67.01,145.53,1.95,0.37,10
2023,8,13,2.21,7.75,0.21,324.3,45.45,145.36,1.34,0.25,6.93
2023,8,14,4.02,7.69,0.38,331.55,78.09,143.65,2.25,0.42,11.44
2023,8,15,4.77,7.77,0.45,322.08,91.48,144.35,2.58,0.48,13.22
2023,8,16,4.16,7.38,0.39,334.42,81.22,138.03,2.06,0.39,11.56
2023,8,17,4.82,7.63,0.46,332.01,91.78,141.3,2.45,0.46,13.16
2023,8,18,4.75,7.89,0.45,316.82,91.47,147.22,2.51,0.48,13.39
2023,8,19,5.4,7.99,0.52,323.84,103.52,149.69,2.82,0.52,15.04
2023,8,20,3.37,7.65,0.32,334.94,66.86,143.84,1.84,0.34,9.96
2023,8,21,2.87,7.6,0.27,328.96,59.83,143.25,1.75,0.33,9.12
2023,8,22,2.5,7.73,0.24,330.09,50.56,146.36,1.57,0.3,7.73
2023,8,23,2.77,7.86,0.27,322.18,55.71,148.27,1.72,0.32,8.54
2023,8,24,2.56,7.29,0.25,332.26,51.67,135.16,1.59,0.3,7.77
2023,8,25,2.63,7.54,0.26,329.33,55.71,142.2,1.77,0.33,8.59
2023,8,26,3.31,7.63,0.32,333.62,66.03,142.48,1.99,0.38,9.97
2023,8,27,3.18,7.13,0.31,339.95,61.84,131.22,1.73,0.33,8.89
2023,8,28,3.17,7.22,0.31,330.98,61.85,132.32,1.69,0.32,8.91
2023,8,29,4.3,7.42,0.42,329.23,82.22,137.55,2.35,0.43,11.79
2023,8,30,4.78,7.59,0.47,331.13,91.34,141.43,2.66,0.48,13.14
2023,8,31,3.47,7.23,0.34,338.13,67.73,134.3,1.98,0.36,9.86
2023,9,1,4.39,7.28,0.44,332.59,84.45,135.49,2.36,0.45,12.24
2023,9,2,4.72,-999,-999,343.47,-999,-999,-999,-999,-999
2023,9,3,5.9,-999,-999,332.7,-999,-999,-999,-999,-999
2023,9,4,5.34,-999,-999,336.69,-999,-999,-999,-999,-999
2023,9,5,5.26,-999,-999,321.05,-999,-999,-999,-999,-999
2023,9,6,5.43,7.13,-999,328.4,-999,-999,-999,-999,-999
2023,9,7,5.13,-999,-999,346.95,-999,-999,-999,-999,-999
2023,9,8,2.47,-999,-999,351.91,-999,-999,-999,-999,-999
2023,9,9,3.56,-999,-999,350.24,-999,-999,-999,-999,-999
2023,9,10,4.81,-999,-999,349.81,-999,-999,-999,-999,-999
2023,9,11,3.77,-999,-999,352.58,-999,-999,-999,-999,-999
2023,9,12,2.98,-999,-999,346.3,-999,-999,-999,-999,-999
2023,9,13,4.57,-999,-999,341.26,-999,-999,-999,-999,-999
2023,9,14,4.28,-999,-999,349.59,-999,-999,-999,-999,-999
2023,9,15,5.06,-999,-999,330.88,-999,-999,-999,-999,-999
2023,9,16,5.54,-999,-999,323.3,-999,-999,-999,-999,-999
2023,9,17,4.81,-999,-999,328.01,-999,-999,-999,-999,-999
2023,9,18,4.74,-999,-999,329.3,-999,-999,-999,-999,-999
2023,9,19,3.44,-999,-999,348.64,-999,-999,-999,-999,-999
2023,9,20,3.57,-999,-999,353.88,-999,-999,-999,-999,-999
2023,9,21,2.86,-999,-999,350.2,-999,-999,-999,-999,-999
2023,9,22,2.47,-999,-999,346.09,-999,-999,-999,-999,-999
2023,9,23,2.21,-999,-999,341.7,-999,-999,-999,-999,-999
2023,9,24,2.6,-999,-999,342.18,-999,-999,-999,-999,-999
2023,9,25,4.04,-999,-999,337.65,-999,-999,-999,-999,-999
2023,9,26,4.89,-999,-999,343.16,-999,-999,-999,-999,-999
2023,9,27,4.03,-999,-999,341.42,-999,-999,-999,-999,-999
2023,9,28,3.94,-999,-999,330.01,-999,-999,-999,-999,-999
2023,9,29,4.56,-999,-999,320.42,-999,-999,-999,-999,-999
2023,9,30,1.6,-999,-999,342.83,-999,-999,-999,-999,-999
2023,10,1,3.26,-999,-999,343.06,-999,-999,-999,-999,-999
2023,10,2,3.7,-999,-999,346.56,-999,-999,-999,-999,-999
2023,10,3,2.23,-999,-999,343.3,-999,-999,-999,-999,-999
2023,10,4,1.49,-999,-999,340.09,-999,-999,-999,-999,-999
2023,10,5,2.91,-999,-999,332.12,-999,-999,-999,-999,-999
2023,10,6,4.03,-999,-999,342.46,-999,-999,-999,-999,-999
2023,10,7,3.03,-999,-999,340.97,-999,-999,-999,-999,-999
2023,10,8,3.16,-999,-999,345.69,-999,-999,-999,-999,-999
2023,10,9,4.32,-999,-999,324.94,-999,-999,-999,-999,-999
2023,10,10,3.49,-999,-999,332.48,-999,-999,-999,-999,-999
2023,10,11,3.14,-999,-999,329.19,-999,-999,-999,-999,-999
2023,10,12,4.26,-999,-999,313.94,-999,-999,-999,-999,-999
2023,10,13,4.12,-999,-999,307.39,-999,-999,-999,-999,-999
2023,10,14,2.98,-999,-999,326.34,-999,-999,-999,-999,-999
2023,10,15,3.06,-999,-999,313.02,-999,-999,-999,-999,-999
2023,10,16,3.92,-999,-999,307.3,-999,-999,-999,-999,-999
2023,10,17,3.27,-999,-999,307.62,-999,-999,-999,-999,-999
2023,10,18,3.52,-999,-999,293.96,-999,-999,-999,-999,-999
2023,10,19,3.28,-999,-999,290.26,-999,-999,-999,-999,-999
2023,10,20,4.45,-999,-999,275.57,-999,-999,-999,-999,-999
2023,10,21,4.79,5.83,-999,268.81,-999,-999,-999,-999,-999
2023,10,22,5.4,5.84,-999,244.83,-999,-999,-999,-999,-999
2023,10,23,5.47,-999,-999,247.25,-999,-999,-999,-999,-999
2023,10,24,4.84,-999,-999,256.72,-999,-999,-999,-999,-999
2023,10,25,5.07,5.69,-999,255.53,-999,-999,-999,-999,-999
2023,10,26,4.79,-999,-999,259.45,-999,-999,-999,-999,-999
2023,10,27,4.48,-999,-999,275.32,-999,-999,-999,-999,-999
2023,10,28,4.69,-999,-999,278.14,-999,-999,-999,-999,-999
2023,10,29,4.64,-999,-999,282.33,-999,-999,-999,-999,-999
2023,10,30,4.37,-999,-999,272.63,-999,-999,-999,-999,-999
2023,10,31,4.24,5.39,-999,268.11,-999,-999,-999,-999,-999
2023,11,1,4.62,-999,-999,267.38,-999,-999,-999,-999,-999
2023,11,2,5.14,5.41,-999,253.86,-999,-999,-999,-999,-999
