YEAR,DOY,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,GWETPROF,GWETROOT,GWETTOP
2017,44,5.25,45.25,0,88.71,0.88,1.62,0.22,1.41,152.56,1.84,3.68,0.42,3.25,155.19,0.48,0.49,0.47
2017,45,6.16,52.12,0,88.79,1.03,2.18,0.21,1.97,116.31,2,4.55,0.23,4.3,157.44,0.48,0.48,0.47
2017,46,4.52,36.81,0,88.8,1.06,1.92,0.36,1.56,125.31,1.98,3.85,0.44,3.41,123.62,0.48,0.48,0.46
2017,47,5.19,40.88,0,88.62,1.08,1.92,0.3,1.62,97,2.02,3.97,0.51,3.46,100.25,0.47,0.48,0.46
2017,48,5.92,45.94,0,88.58,1.01,1.81,0.41,1.4,146.75,1.91,3.77,0.66,3.11,147.31,0.47,0.48,0.46
2017,49,5.98,44.38,0,88.6,0.98,1.94,0.38,1.56,98.5,1.84,4.08,0.59,3.48,99,0.47,0.48,0.45
2017,50,6.71,50.06,0.04,88.32,0.95,2.02,0.06,1.95,128.12,1.86,4.12,0.27,3.85,127,0.47,0.48,0.45
2017,51,7.57,59.69,0.25,87.81,1.14,2.55,0.19,2.37,169.5,2.34,5.15,0.35,4.8,165.44,0.46,0.48,0.45
2017,52,6.84,51.44,0.24,87.8,1.19,2.51,0.48,2.02,260.5,2.42,5.18,0.71,4.47,259.19,0.46,0.47,0.45
2017,53,6.65,50,0.45,87.95,1.1,2.12,0.19,1.93,169.44,2.34,4.59,0.49,4.1,174.38,0.46,0.47,0.45
2017,54,4.46,38.19,0.19,88.05,1.1,2.3,0.22,2.08,141.31,2.21,4.62,0.55,4.07,166.19,0.46,0.47,0.45
2017,55,3.66,32.94,0.01,88.21,1.12,2.13,0.18,1.95,112.38,2.2,4.39,0.23,4.16,111.38,0.45,0.47,0.44
2017,56,3.78,35.38,0.02,88.23,1.04,1.82,0.16,1.66,117.62,2.04,3.97,0.27,3.7,118.19,0.45,0.46,0.44
2017,57,3.97,36.75,0.91,88.06,1.1,1.98,0.48,1.49,112.19,2.12,4.04,0.74,3.3,111.75,0.45,0.46,0.44
2017,58,4.52,40.38,1.48,88.3,1.01,1.66,0.38,1.28,108.5,1.95,3.47,0.57,2.9,109,0.45,0.46,0.45
2017,59,5,42.19,0.41,88.34,0.99,1.75,0.11,1.64,105.94,1.95,3.73,0.1,3.62,109.06,0.45,0.46,0.45
2017,60,5.19,41.5,0.52,88.27,1.07,1.97,0.3,1.67,110.81,2.09,4.09,0.48,3.6,110.44,0.45,0.46,0.44
2017,61,5.8,43.69,2.06,88.08,0.98,1.98,0.34,1.64,151.31,2.04,4.11,0.24,3.87,153.25,0.45,0.46,0.45
2017,62,5.68,40.94,0.17,87.82,1.8,3.56,0.72,2.84,264.56,3.49,7.01,1.34,5.67,264.44,0.45,0.45,0.44
2017,63,4.21,31.94,0.12,87.8,1.7,3.25,0.62,2.62,244.31,3.21,6.18,1.22,4.96,241.81,0.45,0.45,0.42
2017,64,4.82,35.12,0.45,87.79,1.33,2.71,0.42,2.29,276.88,2.66,5.45,0.86,4.59,276.31,0.45,0.45,0.42
2017,65,3.6,29.81,0.12,87.85,1.3,2.68,0.59,2.09,271.44,2.55,5.29,1.07,4.23,267.88,0.44,0.45,0.41
2017,66,3.23,25.81,0,88,1.24,2.43,0.22,2.21,153.25,2.34,4.8,0.31,4.48,166.25,0.44,0.45,0.41
2017,67,3.36,27.75,0.05,87.99,1.27,2.52,0.36,2.16,175.12,2.41,4.96,0.47,4.49,189.62,0.44,0.45,0.41
2017,68,4.52,36.69,0.25,87.82,0.95,1.69,0.36,1.33,152.44,1.89,3.55,0.57,2.98,152.12,0.43,0.44,0.41
2017,69,7.02,54.81,3.72,87.84,0.98,1.84,0.16,1.67,156.25,2.05,3.94,0.42,3.52,163.75,0.43,0.44,0.42
2017,70,9.09,83.12,23.81,87.75,1.23,2.33,0.29,2.04,159.06,2.51,5.04,0.63,4.41,179.94,0.45,0.47,0.59
2017,71,5.62,56.62,0.21,87.8,1.67,3.71,0.4,3.31,217.56,3.39,7.22,0.8,6.43,214.31,0.46,0.48,0.48
2017,72,4.52,42.31,0.02,88.15,1.03,2.38,0.1,2.28,129.25,1.95,4.61,0.14,4.48,138.06,0.46,0.48,0.45
2017,73,4.52,39.38,0.84,88.28,1.14,2.28,0.44,1.84,141.5,2.21,4.65,0.81,3.84,140.06,0.46,0.47,0.45
2017,74,4.46,37.94,0.03,88.22,1.22,2.23,0.49,1.73,146.12,2.29,4.38,1.02,3.37,158.06,0.46,0.47,0.45
2017,75,4.7,38.12,0.67,88.05,1.21,2.2,0.45,1.75,144.38,2.3,4.3,0.87,3.44,156.81,0.45,0.47,0.45
2017,76,5.8,49.19,7.14,87.95,1.09,2.17,0.38,1.79,162.44,2.22,4.46,0.9,3.56,163.81,0.45,0.47,0.47
2017,77,6.1,53.19,3.3,87.97,1.19,2.84,0.19,2.65,140.31,2.35,5.52,0.66,4.86,140.75,0.46,0.48,0.49
2017,78,5.68,51.56,1.21,88.24,1.02,1.95,0.14,1.8,153.38,2.12,3.95,0.45,3.51,154.12,0.46,0.48,0.48
2017,79,7.26,67.06,6.74,88.18,1.02,1.92,0.11,1.8,166.88,2.02,3.92,0.19,3.74,152.12,0.46,0.48,0.48
2017,80,6.71,55.94,0.05,88.29,1.23,2.26,0.45,1.81,168.44,2.43,4.55,0.68,3.87,166.44,0.47,0.48,0.48
2017,81,7.51,53,0.79,88.27,1.02,2.11,0.21,1.9,181.31,1.92,4.23,0.32,3.91,197.19,0.47,0.48,0.47
2017,82,9.34,61.38,0.03,88.2,0.98,2.22,0.14,2.08,144.44,1.98,4.45,0.28,4.18,146.62,0.47,0.48,0.45
2017,83,10.68,70.56,9.19,88.13,0.95,2.05,0.12,1.92,204.81,2.01,4.13,0.19,3.95,207.69,0.47,0.48,0.49
2017,84,9.34,60.31,3.48,88.17,1.06,2.4,0.06,2.34,180.69,2.16,4.98,0.13,4.85,181.5,0.48,0.49,0.51
2017,85,9.89,66,2.66,88.28,0.94,1.75,0.29,1.46,151.31,1.85,3.52,0.55,2.98,153.69,0.48,0.49,0.48
2017,86,10.99,70.06,2.3,88.23,1.09,2.03,0.38,1.66,157.5,2.23,4.25,0.62,3.62,160.31,0.48,0.49,0.48
2017,87,11.47,69.5,3.09,88.18,1.02,2.39,0.15,2.24,182.31,2.09,4.92,0.38,4.54,187.88,0.48,0.49,0.49
2017,88,12.7,80,4.82,88.01,0.97,2.05,0.16,1.89,195.69,2.02,4.06,0.31,3.75,198.19,0.48,0.49,0.51
2017,89,11.41,66.69,2.4,87.93,1.06,2.17,0.14,2.03,184.62,2.12,4.6,0.02,4.58,185.44,0.48,0.5,0.49
2017,90,11.29,64.75,7.68,88.19,1.16,2.15,0.45,1.7,133.56,2.3,4.2,0.92,3.27,140.38,0.48,0.5,0.51
2017,91,11.47,69.56,11.6,87.91,0.94,2.02,0.21,1.81,196.38,1.92,4.21,0.38,3.84,195.5,0.49,0.52,0.55
2017,92,9.09,53.75,1.62,87.8,0.91,1.77,0.28,1.5,191.69,1.85,3.77,0.8,2.97,182.56,0.5,0.52,0.52
2017,93,7.75,45.81,9.18,87.9,1.04,1.88,0.27,1.61,151.19,2.03,4.02,0.49,3.52,157.81,0.5,0.52,0.53
2017,94,9.64,62.75,2.99,88.08,0.97,1.89,0.19,1.71,112.88,1.97,3.91,0.57,3.34,118.88,0.51,0.52,0.54
2017,95,10.56,70.75,6.52,88.08,0.98,2.03,0.09,1.93,146.94,1.94,4.05,0.18,3.86,138.31,0.51,0.52,0.53
2017,96,11.47,70,0.77,88.06,0.94,1.82,0.24,1.58,162,1.87,3.76,0.23,3.52,150.31,0.51,0.53,0.52
2017,97,11.05,60.94,0.6,87.95,1.18,2.16,0.34,1.83,223.25,2.41,4.53,0.59,3.95,222.75,0.51,0.52,0.51
2017,98,8.73,44.44,0.93,87.96,1.38,2.38,0.37,2.02,224,2.83,4.91,0.76,4.16,223.62,0.5,0.52,0.49
2017,99,5.68,30.25,0.85,87.85,1.58,2.84,0.67,2.16,267.12,3.05,5.56,1.11,4.45,265.75,0.5,0.52,0.48
2017,100,4.33,26.19,1.55,87.78,1.2,2.21,0.26,1.95,165.75,2.4,4.53,0.7,3.82,178.5,0.49,0.51,0.49
2017,101,3.97,24.31,0,87.89,1.03,1.97,0.29,1.68,157.88,2.01,4.12,0.53,3.59,172.5,0.49,0.51,0.48
2017,102,5.68,35.12,0,88.11,1.18,1.89,0.58,1.31,91.81,2.24,3.77,1.05,2.73,97.31,0.48,0.5,0.47
2017,103,8.73,50.44,0,88.17,1.09,1.8,0.49,1.3,118.75,2.16,3.7,1.2,2.5,121.25,0.48,0.5,0.47
2017,104,10.31,58.69,2.28,88.09,1.16,2.16,0.33,1.83,122.38,2.41,4.34,0.68,3.66,129.12,0.48,0.49,0.48
2017,105,10.68,67.12,6,87.95,0.82,1.86,0.26,1.6,94.31,1.65,3.96,0.46,3.5,97.94,0.48,0.5,0.52
2017,106,9.34,55.12,0.12,87.97,1.27,2.67,0.3,2.37,129.94,2.24,4.95,0.45,4.51,131.69,0.48,0.5,0.49
2017,107,8.3,48.06,1.05,88.05,1.13,2.43,0.17,2.26,125.69,2.26,4.79,0.28,4.51,105.44,0.48,0.5,0.48
2017,108,10.5,57.31,1.55,88.03,1.12,2.05,0.52,1.52,153.88,2.34,4.37,1.12,3.24,155.06,0.48,0.49,0.47
2017,109,13.55,77.81,6.72,87.89,0.74,1.57,0.05,1.52,163.62,1.56,3.28,0.08,3.2,171.38,0.48,0.49,0.52
2017,110,14.59,87.44,5.34,87.7,1.34,2.77,0.25,2.52,200.5,2.87,5.67,0.68,4.99,202.75,0.49,0.51,0.54
2017,111,14.59,85.69,8.7,87.7,1.46,2.54,0.45,2.09,197.75,3.02,5.24,1.27,3.98,201.69,0.49,0.51,0.53
2017,112,15.5,90.81,15.62,87.72,1.69,2.38,0.94,1.44,174.06,3.43,4.77,2.41,2.36,177.81,0.51,0.53,0.59
2017,113,14.16,86.5,12.18,87.76,1.08,1.76,0.54,1.23,177.25,2.38,3.73,1.62,2.11,182.75,0.52,0.55,0.6
2017,114,13.37,80.12,18.1,87.6,1.21,2.54,0.48,2.06,236.62,2.77,5.37,0.89,4.48,235.69,0.53,0.56,0.61
2017,115,10.25,56.75,0.52,87.57,1.22,2.39,0.5,1.9,261.75,2.59,5.12,0.83,4.29,244.94,0.55,0.57,0.57
2017,116,7.81,39.5,0.13,87.79,1.03,1.95,0.09,1.86,203.06,2.09,4.09,0.1,3.99,216.25,0.54,0.56,0.54
2017,117,7.57,39.38,0.3,87.91,1.15,2.27,0.28,1.98,217.12,2.34,4.78,0.34,4.45,219.88,0.53,0.55,0.53
2017,118,9.52,52.19,5.17,87.99,0.84,1.73,0.16,1.58,178.56,1.72,3.74,0.63,3.12,175.69,0.53,0.55,0.54
2017,119,12.27,71.25,11.16,88.06,1.03,1.7,0.12,1.58,152.44,2.09,3.6,0.49,3.11,157.19,0.53,0.55,0.59
2017,120,12.45,70.75,6.35,88.02,0.98,1.84,0.42,1.41,202.19,2.19,3.97,0.43,3.54,208.12,0.54,0.56,0.58
2017,121,12.76,77.19,11.39,88.11,0.91,1.75,0.14,1.61,230.69,2.03,3.78,0.31,3.47,245.62,0.55,0.57,0.61
2017,122,10.5,64.25,1.12,88.16,1.15,2.1,0.41,1.69,199.19,2.34,4.55,0.62,3.93,199,0.55,0.57,0.58
2017,123,10.86,63.44,2.06,88.22,0.89,1.58,0.14,1.44,112.31,1.84,3.35,0.48,2.87,117,0.55,0.57,0.56
2017,124,12.63,72.75,7.16,88.09,1.08,2.1,0.26,1.84,151.38,2.34,4.7,0.09,4.59,158.06,0.55,0.57,0.59
2017,125,10.86,60.19,4.2,88,0.9,1.85,0.25,1.6,197.56,1.92,4.18,0.41,3.77,172.38,0.55,0.57,0.58
2017,126,11.23,64,14.02,88.21,0.71,1.67,0.06,1.61,172.06,1.48,3.63,0.11,3.52,167.81,0.55,0.58,0.61
2017,127,13.73,73.81,0.6,88.17,0.98,1.87,0.18,1.69,153.12,2.03,4.09,0.21,3.87,153.19,0.55,0.59,0.59
2017,128,14.59,80.06,2.75,88.2,0.68,1.44,0.03,1.41,155.25,1.35,3.03,0.09,2.95,177.62,0.55,0.58,0.59
2017,129,14.83,79.69,7.24,88.07,0.91,1.6,0.26,1.34,197.38,2.02,3.33,0.37,2.96,171.69,0.55,0.58,0.61
2017,130,12.88,76.25,11.64,88.15,0.73,1.36,0.13,1.23,190.81,1.69,3.05,0.23,2.83,192.12,0.57,0.59,0.64
2017,131,14.65,83.81,4.23,88.06,1.04,2.15,0.16,1.98,192.69,2.4,4.61,0.85,3.76,201.81,0.57,0.59,0.62
2017,132,14.59,84.12,29.03,88.11,0.78,1.41,0.23,1.18,163.56,1.57,2.78,0.47,2.31,169.62,0.58,0.61,0.69
2017,133,14.89,79.69,12.27,87.92,0.84,1.52,0.33,1.19,134.94,1.84,3.54,0.62,2.92,136.19,0.6,0.64,0.7
2017,134,15.81,86.62,14.3,87.76,1,2.14,0.38,1.77,134.62,2.38,4.81,0.96,3.85,136.94,0.62,0.65,0.71
2017,135,13.79,78.31,4.23,87.7,0.75,1.58,0.22,1.36,101.25,1.81,3.41,0.52,2.89,107.62,0.62,0.66,0.69
2017,136,13.31,80.5,8.64,87.62,0.88,2.13,0.06,2.07,102.94,1.95,4.16,0.27,3.89,120.75,0.62,0.66,0.71
2017,137,13.98,75.31,3.59,87.63,0.86,1.36,0.38,0.98,161.38,2.03,3.12,0.95,2.18,193.44,0.62,0.66,0.69
2017,138,15.2,78,2.92,87.62,0.8,1.82,0.22,1.6,214,2.03,3.98,0.66,3.32,212.19,0.62,0.65,0.67
2017,139,14.95,77.44,14.45,87.76,0.88,1.8,0.06,1.73,187.81,2.05,3.94,0.18,3.76,219,0.62,0.65,0.7
2017,140,15.2,79.75,23.48,87.66,0.91,1.66,0.15,1.52,129.81,2.02,3.77,0.23,3.53,123.25,0.63,0.67,0.74
2017,141,14.77,76.75,8.08,87.64,0.89,1.52,0.09,1.44,138.69,2.03,3.52,0.52,3.01,146,0.64,0.68,0.73
2017,142,15.38,80.44,1.92,87.78,0.69,1.41,0.11,1.3,167.19,1.56,3.16,0.16,2.99,155.5,0.64,0.68,0.72
2017,143,15.99,79.88,10.44,87.83,0.78,1.49,0.12,1.38,144.88,1.78,3.34,0.45,2.89,151.06,0.64,0.67,0.72
2017,144,16.72,82.19,7.33,87.73,0.99,1.79,0.31,1.48,218.5,2.27,3.95,0.89,3.05,220.25,0.64,0.68,0.72
2017,145,16.6,82.62,5.27,87.73,0.84,1.58,0.3,1.28,218.25,1.94,3.52,0.56,2.95,222.31,0.64,0.68,0.72
2017,146,16.72,84.44,10.45,87.76,0.96,1.64,0.2,1.45,143.56,2.19,3.56,0.41,3.16,151.62,0.64,0.67,0.73
2017,147,13.92,76.12,9.86,87.78,0.63,1.2,0.12,1.08,117.31,1.5,2.76,0.28,2.48,117.5,0.65,0.69,0.74
2017,148,14.16,75.06,2.32,87.69,0.81,1.35,0.37,0.98,113.12,1.79,2.98,0.66,2.34,115.06,0.65,0.68,0.72
2017,149,14.71,73.19,0.93,87.53,0.85,1.62,0.24,1.38,90.62,1.88,3.58,0.62,2.96,94.94,0.64,0.67,0.7
2017,150,15.32,79.69,14.13,87.34,0.73,1.36,0.04,1.32,184.19,1.47,2.37,0.42,1.95,170.19,0.64,0.67,0.73
2017,151,15.2,75.88,0.51,87.45,0.95,1.77,0.18,1.58,246.62,2.02,3.78,0.3,3.48,249,0.64,0.68,0.7
2017,152,16.36,80.25,11.08,87.54,1.05,1.89,0.2,1.7,198.06,2.39,4.23,0.4,3.84,161.31,0.64,0.67,0.72
2017,153,16.78,83.62,18.45,87.54,0.85,1.86,0.1,1.76,207.25,2.13,4.34,0.2,4.14,210.25,0.65,0.69,0.76
2017,154,14.77,73.06,5.78,87.47,1.05,2.25,0.2,2.05,226.62,2.42,5.12,0.2,4.92,211.44,0.66,0.7,0.74
2017,155,15.81,72.31,2.01,87.56,1.16,2,0.49,1.51,141.19,2.41,4.27,1.16,3.11,148.25,0.65,0.68,0.71
2017,156,17.52,86.38,9.52,87.64,1.4,2.64,0.47,2.16,135.38,2.85,5.32,1.2,4.12,140.44,0.65,0.68,0.73
2017,157,15.62,71.62,2.05,87.87,0.83,1.48,0.27,1.2,158.06,1.69,3.04,0.45,2.59,160.69,0.65,0.68,0.72
2017,158,16.36,75.75,0.14,87.81,0.84,1.38,0.32,1.06,153.56,1.8,3.06,0.51,2.55,156.12,0.64,0.67,0.7
2017,159,17.15,80.38,0.82,87.65,0.84,1.7,0.19,1.52,233.5,1.91,3.94,0.38,3.56,218.19,0.63,0.66,0.69
2017,160,17.15,80.94,4.07,87.54,0.95,1.88,0.23,1.66,231.25,2.13,4.16,0.69,3.47,229.88,0.63,0.66,0.69
2017,161,17.52,83.12,3.23,87.49,1.01,2.1,0.34,1.77,212.81,2.22,4.55,0.57,3.97,213.81,0.62,0.66,0.69
2017,162,17.7,83.69,5.76,87.41,0.84,1.81,0.15,1.66,183.44,1.82,3.85,0.26,3.59,190.12,0.62,0.66,0.69
2017,163,17.33,83.38,15.19,87.24,0.88,2.09,0.21,1.88,144.31,2.02,4.47,0.58,3.89,149.88,0.63,0.66,0.72
2017,164,15.99,75.06,1.89,87.26,0.98,2.01,0.05,1.95,230.31,2.13,4.4,0.43,3.97,234.62,0.63,0.66,0.69
2017,165,16.91,80.19,3.62,87.63,0.95,1.85,0.2,1.66,178.12,1.98,3.89,0.37,3.53,175.12,0.62,0.66,0.69
2017,166,17.64,86.38,1.1,87.64,1.3,2.09,0.73,1.37,182.06,2.87,4.55,1.59,2.96,188.75,0.62,0.66,0.67
2017,167,17.15,88.44,3.39,87.62,0.95,1.62,0.24,1.38,162,2.23,3.55,0.59,2.97,173.12,0.62,0.65,0.67
2017,168,16.48,81.94,2.08,87.45,1.05,2.15,0.27,1.88,220.88,2.35,4.78,0.63,4.16,223.94,0.62,0.65,0.66
2017,169,16.36,78.62,2.42,87.34,0.91,1.82,0.1,1.72,210.56,2.05,4.05,0.32,3.73,231,0.61,0.64,0.66
2017,170,18.19,89.06,36.69,87.29,1.16,1.93,0.09,1.84,178.19,2.58,4.27,0.26,4,190.12,0.62,0.66,0.73
2017,171,18.43,93.75,25.14,87.3,1.85,2.46,1.44,1.02,173.38,4.16,5.38,3.2,2.18,177.69,0.66,0.71,0.8
2017,172,17.52,91.62,14.08,87.36,1.41,1.85,0.85,1,172.38,3.2,4.08,2.2,1.88,175.62,0.67,0.72,0.78
2017,173,18.25,93.62,22.04,87.42,1.13,1.95,0.27,1.68,177.88,2.64,4.27,1.11,3.16,182.69,0.7,0.74,0.82
2017,174,18.01,90.38,9.24,87.46,0.93,2.05,0.11,1.94,160.19,2.09,4.46,0.13,4.34,169.31,0.7,0.74,0.8
2017,175,17.21,84.69,9.96,87.42,0.83,1.35,0.26,1.09,133.31,1.79,2.82,0.53,2.29,135.69,0.7,0.74,0.8
2017,176,18.01,90.12,11.85,87.5,0.85,1.94,0.2,1.74,173.75,1.84,3.93,0.45,3.48,177.62,0.7,0.75,0.8
2017,177,18.01,88.19,11.21,87.61,0.99,2.03,0.21,1.82,184.62,2.16,4.23,0.38,3.86,187.19,0.71,0.76,0.8
2017,178,17.52,85.5,8.83,87.65,1.01,1.93,0.3,1.63,129.31,2.27,4.12,0.8,3.32,135,0.71,0.76,0.8
2017,179,18.31,90.44,9.33,87.7,0.9,1.68,0.17,1.51,169.31,2.16,3.6,0.78,2.82,178.19,0.72,0.76,0.8
2017,180,18.31,90.44,7.48,87.56,1.1,2.2,0.3,1.91,185.56,2.63,4.85,1.07,3.78,189.69,0.72,0.76,0.8
2017,181,18.49,94,28.58,87.36,1,1.83,0.34,1.48,179.44,2.43,3.98,1.2,2.79,184.62,0.73,0.77,0.84
2017,182,18.13,93.06,31.38,87.33,0.84,1.79,0.14,1.65,160.25,1.98,3.95,0.05,3.91,173.69,0.75,0.8,0.87
2017,183,17.76,88.69,10.09,87.36,0.93,1.88,0.2,1.68,196.25,2.08,3.98,0.28,3.71,195,0.77,0.81,0.84
2017,184,18.62,91.94,8.7,87.31,1.01,1.89,0.33,1.56,159.25,2.32,4.05,0.7,3.34,166.25,0.77,0.82,0.84
2017,185,18.92,92.12,9.53,87.25,1.12,2.05,0.44,1.62,190.06,2.62,4.3,1.23,3.07,192,0.77,0.82,0.84
2017,186,18.49,94.94,19.57,87.43,0.99,1.88,0.07,1.8,150,2.21,4.07,0.25,3.83,160.5,0.78,0.83,0.86
2017,187,18.13,91.56,24.98,87.53,1.14,2.31,0.25,2.06,142.38,2.38,4.42,0.63,3.78,144,0.79,0.84,0.88
2017,188,18.25,89.88,5.56,87.54,0.88,2.05,0.17,1.88,215.69,2.01,4.55,0.22,4.33,211.5,0.8,0.85,0.86
2017,189,18.98,94.94,28.03,87.53,1.14,1.88,0.42,1.45,175.06,2.7,4.25,1.34,2.91,182.19,0.8,0.85,0.88
2017,190,18.86,96.06,53.95,87.61,1.35,2.17,0.48,1.7,163.31,2.75,4.19,0.84,3.34,166.75,0.84,0.89,0.91
